product_id,product_name,category,unit_price
113,Toys Item 113,Toys,233.24
114,Sports Item 114,Sports,368.48
115,Sports Item 115,Sports,262.37
116,Home & Kitchen Item 116,Home & Kitchen,160.06
117,Electronics Item 117,Electronics,338.03
118,Clothing Item 118,Clothing,10.91
119,Clothing Item 119,Clothing,265.00
120,Grocery Item 120,Grocery,178.99
121,Books Item 121,Books,129.68
122,Electronics Item 122,Electronics,16.72
123,Clothing Item 123,Clothing,33.15
124,Sports Item 124,Sports,475.48
125,Clothing Item 125,Clothing,INVALID
126,Clothing Item 126,Clothing,47.75
127,Home & Kitchen Item 127,Home & Kitchen,191.09
128,Home & Kitchen Item 128,Home & Kitchen,448.51
129,Home & Kitchen Item 129,Home & Kitchen,130.39
130,Grocery Item 130,Grocery,331.93
131,Clothing Item 131,Clothing,321.19
132,Books Item 132,Books,385.82
133,Beauty Item 133,Beauty,132.37
134,Clothing Item 134,Clothing,142.25
135,Electronics Item 135,Electronics,INVALID
136,Beauty Item 136,Beauty,497.99
137,Books Item 137,Books,478.01
138,,Books,93.07
139,Clothing Item 139,Clothing,248.39
140,Sports Item 140,Sports,307.09
141,Home & Kitchen Item 141,Home & Kitchen,324.50
142,Clothing Item 142,Clothing,76.21
143,Toys Item 143,Toys,113.09
144,Clothing Item 144,Clothing,456.73
145,Books Item 145,Books,56.12
146,Clothing Item 146,Clothing,39.84
147,Books Item 147,Books,389.72
148,Electronics Item 148,Electronics,INVALID
149,Home & Kitchen Item 149,Home & Kitchen,328.16
150,Electronics Item 150,Electronics,466.77
151,Toys Item 151,Toys,136.88
152,Beauty Item 152,Beauty,452.78
153,Electronics Item 153,Electronics,260.10
154,Grocery Item 154,Grocery,241.67
155,Toys Item 155,Toys,-7.25
156,Clothing Item 156,Clothing,272.35
157,Electronics Item 157,Electronics,195.28
158,Grocery Item 158,Grocery,64.99
159,Beauty Item 159,Beauty,170.04
160,Books Item 160,Books,203.29
161,,Clothing,-22.51
162,Beauty Item 162,Beauty,44.82
163,Grocery Item 163,Grocery,381.41
164,Books Item 164,Books,325.65
165,Home & Kitchen Item 165,Home & Kitchen,279.46
166,Toys Item 166,Toys,332.05
167,Books Item 167,Books,349.45
168,Clothing Item 168,Clothing,INVALID
169,Beauty Item 169,Beauty,245.81
170,,Grocery,368.98
171,Home & Kitchen Item 171,Home & Kitchen,22.66
172,Electronics Item 172,Electronics,361.26
173,Sports Item 173,Sports,-8.31
174,Clothing Item 174,Clothing,397.40
175,Books Item 175,Books,252.33
176,Grocery Item 176,Grocery,483.44
177,Electronics Item 177,Electronics,23.33
178,Electronics Item 178,Electronics,172.16
179,Electronics Item 179,Electronics,205.72
180,Sports Item 180,Sports,-14.57
181,Grocery Item 181,Grocery,470.33
182,Home & Kitchen Item 182,Home & Kitchen,-32.07
183,Sports Item 183,Sports,462.77
184,Electronics Item 184,Electronics,369.04
185,Grocery Item 185,Grocery,328.64
186,Grocery Item 186,Grocery,454.04
187,Electronics Item 187,Electronics,125.12
188,Home & Kitchen Item 188,Home & Kitchen,INVALID
189,Electronics Item 189,Electronics,-7.40
190,Clothing Item 190,Clothing,230.80
191,Home & Kitchen Item 191,Home & Kitchen,418.49
192,Clothing Item 192,Clothing,INVALID
193,Clothing Item 193,Clothing,61.51
194,Sports Item 194,Sports,36.23
195,Sports Item 195,Sports,215.96
196,Toys Item 196,Toys,165.49
197,Home & Kitchen Item 197,Home & Kitchen,164.18
198,Sports Item 198,Sports,383.28
199,Home & Kitchen Item 199,Home & Kitchen,171.06
200,Clothing Item 200,Clothing,140.57
33,,Books,-42.77
179,Electronics Item 179,Electronics,205.72
27,Beauty Item 27,Beauty,153.36
63,Books Item 63,Books,235.13
96,Beauty Item 96,Beauty,31.88
184,Electronics Item 184,Electronics,369.04
